chr	start	end	readCount	log2Ratio
1	213500001	214000000	1301	0.377962971921913
1	214000001	214500000	1266	0.444939147396228
1	214500001	215000000	1207	0.385596499992374
1	215000001	215500000	1095	0.286653882102748
1	215500001	216000000	1063	0.288035439816762
1	216000001	216500000	1043	0.330659532338286
1	216500001	217000000	887	0.0993926703254307
1	217000001	217500000	1199	0.451067302525575
1	217500001	218000000	1120	0.36926620601472
1	218000001	218500000	1122	0.376370801983327
1	218500001	219000000	1125	0.232756253107097
1	219000001	219500000	1170	0.495564929134861
1	219500001	220000000	1143	0.367868126442297
1	220000001	220500000	1190	0.359611964471015
1	220500001	221000000	1227	0.369060187565243
1	221000001	221500000	1211	0.375800934670099
1	221500001	222000000	1186	0.358649160397667
1	222000001	222500000	1055	0.105704347020164
1	223000001	223500000	1326	0.396424746984324
1	224500001	225000000	1287	0.378231754568309
1	225000001	225500000	1205	0.397926484546747
1	225500001	226000000	1192	0.350306435845833
1	226000001	226500000	1258	0.451860819511745
1	226500001	227000000	1361	0.43250740925472
1	227000001	227500000	1216	0.394463348509487
1	227500001	228000000	1176	0.300269108982798
1	228000001	228500000	1094	0.221673669479629
1	228500001	229000000	1077	0.263993889282709
1	229000001	229500000	1210	0.289053129225516
1	229500001	230000000	1281	0.360058422452762
1	230000001	230500000	1286	0.403443559666628
1	230500001	231000000	1269	0.262561456046245
1	231000001	231500000	1302	0.406089564028952
1	231500001	232000000	1215	0.317734475663019
1	232000001	232500000	1219	0.231067128062245
1	232500001	233000000	1208	0.295034258389483
1	233000001	233500000	1167	0.293261437221228
1	233500001	234000000	1190	0.328124168884238
1	234000001	234500000	1313	0.409754106003356
1	234500001	235000000	1340	0.385283303217524
1	235500001	236000000	1371	0.529704175340653
1	236000001	236500000	1409	0.543024759624427
1	236500001	237000000	1380	0.46105572350127
1	237000001	237500000	1282	0.416573008935225
1	237500001	238000000	1194	0.461948516712004
1	238000001	238500000	1274	0.496907480552509
1	238500001	239000000	1191	0.574101379463349
1	239000001	239500000	1181	0.49771401956689
1	239500001	240000000	1275	0.594381697991927
1	240000001	240500000	1325	0.509996988196885
1	240500001	241000000	1019	0.139513389039884
1	241000001	241500000	488	-0.884586476227545
1	241500001	242000000	495	-0.8781452170111
1	242000001	242500000	584	-0.68441723817239
1	242500001	243000000	555	-0.685085092022635
1	243500001	244000000	510	-0.790683261125471
1	244000001	244500000	566	-0.759381512336931
1	244500001	245000000	577	-0.731538172462681
1	245000001	245500000	619	-0.624770191774782
1	245500001	246000000	624	-0.697573926416016
1	246000001	246500000	564	-0.805472955482879
1	246500001	247000000	584	-0.714870345092541
1	247000001	247500000	563	-0.699519028145621
1	247500001	248000000	530	-0.784729950607748
1	248000001	248500000	464	-0.924775178113395
